baseline
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, e_ini, size_ratio, subs_NOx, min_packages, max_packages,
60,80000,100000,100000,4000,4,9000,1,20,
ALL SIMULATION RESULTS,
total_steps(sec), minutes, avg_time_per_package (sec), p_t_total_all_steps, e_t_total_all_steps, p_t_control_zone_all_steps,  e_t_control_zone_all_steps, avg_k_all_steps, veh_enter_cz_all_steps, not_veh_enter_cz_all_steps, avg_total_time_all_steps
5789,96.0,1707.67893622895,658712147.6498948,15304100.134476954,12531415.615988962,707112.7758218895,33.81236956694131,280,746,1711.664717348928
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.8537456976449606,85265.15488478143,454.59762078585607,96316.28872119535,0,0.0,12,0,
120,3534.4199646280235,3989.0175854138797,1.138973494774893,60262.10907288528,3534.4199646280235,90065.52726822131,0,0.18418556394023253,29,0,
180,18091.844226691937,22080.861812105817,1.1055098475906455,38555.59878631398,18091.844226691937,84115.93863990551,0,0.4967236365889345,43,0,
240,33121.79637853597,55202.658190641785,0.9020276102957687,39204.40119420228,33121.79637853597,79997.69014724359,0,0.7942030680047246,62,0,
300,38251.2612524624,93453.91944310418,0.9981740348367764,41521.397192540724,38251.2612524624,75014.1238337126,0,1,79,0,
360,49133.31317840492,142587.23262150912,0.9797964259154952,55382.039037987815,49133.31317840492,70195.95600047315,0,1,100,0,
420,61868.66499210727,204455.89761361637,1.060637189089105,79067.76522288729,61868.66499210727,64650.2212986712,32.76943860438014,1,116,3,
480,72738.1505241563,277194.04813777265,1.1154893404542052,111648.29949069221,72738.1505241563,58610.81723458335,260.57333870291046,1,134,10,
540,75620.45801537608,352814.5061531487,0.837543834709694,157117.17945651928,75620.45801537608,55447.44637010645,4374.523647910348,1,145,25,
600,78623.20827179015,431437.7144249389,0.8113389906088025,206532.18406639254,78623.20827179015,64421.82838639,16276.432931762767,1,158,47,
660,81966.65103593968,513404.3654608786,1.1343060415679478,247663.8176058861,81966.65103593968,89255.23463803847,35042.160625760014,1,176,57,
720,88852.59615384904,602256.9616147276,0.9731068271620213,301484.5679819024,88852.59615384904,119369.43527124127,38872.162077660985,0.5372382680980765,199,75,
780,107350.80240087393,709607.7640156016,1.1049120329831768,369058.53719538194,107350.80240087393,154281.09770677742,44855.87073238474,0,213,79,
840,106551.11724444522,816158.8812600469,0.8008424213404444,446779.3272715712,106551.11724444522,191209.23912142232,44135.723206708906,0,229,77,
900,118965.41472407474,935124.2959841216,0.9781548776219205,530531.1664012568,118965.41472407474,228084.66115487274,45678.815932047684,0,247,75,
960,125901.12880446114,1061025.4247885828,1.088616012936313,617242.1187400107,125901.12880446114,262198.16145234293,43911.04441389704,0,266,69,
1020,136447.57474006945,1197472.9995286523,0.8915048885081811,721595.5174937856,136447.57474006945,287330.91266450635,33156.29520873708,0,284,61,
1080,148048.26551690244,1345521.2650455548,1.1781082782215688,827231.8849947115,148048.26551690244,297106.35169451276,20378.413534000505,0,299,37,
1140,165250.6073072455,1510771.8723528003,1.1605709830445934,950701.9369123516,165250.6073072455,292525.6097812629,5864.396934151475,0,314,28,
1200,168287.02872940217,1679058.9010822026,0.8122359932134214,1089748.4698860706,168287.02872940217,285234.2321150319,18.746272689817918,0,329,5,
1260,188669.35373324377,1867728.2548154462,0.8101783443973843,1249251.4032210086,188669.35373324377,277942.62701545545,0,0,351,0,
1320,198632.33039227928,2066360.5852077254,1.0165649891173987,1411287.3940050614,198632.33039227928,268793.54211339884,0,0,364,0,
1380,214035.55879664092,2280396.1440043664,1.1756596651114042,1582999.2048576917,214035.55879664092,258212.6051273962,0,0,377,0,
1440,223566.97653369862,2503963.120538065,0.952481695075285,1772276.84036868,223566.97653369862,249640.26987171866,0,0,387,0,
1500,234744.06754003503,2738707.1880781003,0.8866397588522453,1975101.8765900342,234744.06754003503,241660.51204204845,0,0,365,0,
1560,230512.5415623681,2969219.7296404685,0.9688466302330869,2170735.939464011,230512.5415623681,232940.89236995066,0,0,371,0,
1620,241720.55254961996,3210940.2821900886,0.8116163150299472,2383238.304672553,241720.55254961996,225636.34553468114,0,0,369,0,
1680,249568.14875748186,3460508.4309475706,0.8886766665092141,2600814.0934357033,249568.14875748186,217638.2555360982,0,0,391,0,
1740,254651.06650896545,3715159.497456536,0.9751550374602288,2820359.5785961007,254651.06650896545,208861.86019895616,0,0,401,0,
1800,270082.0886869605,3985241.5861434964,0.9983248965527403,3054501.9710071622,270082.0886869605,199876.9361299815,0,0,417,0,
1860,285292.11802922277,4270533.704172719,0.8932337801030291,3307637.672952676,285292.11802922277,191837.83210905423,0,0,433,0,
1920,297543.62777226104,4568077.331944981,0.8923466166163937,3573056.822526747,297543.62777226104,183806.71255950668,0,0,445,0,
1980,303537.3046993916,4871614.636644373,0.8875124149350755,3844643.680288476,303537.3046993916,175819.100825091,0,0,454,0,
2040,297507.7594149984,5169122.3960593715,0.9838413862950934,4106733.149796851,297507.7594149984,166964.52834843518,0,0,462,0,
2100,296366.8161230072,5465489.212182378,0.9159126458361943,4370127.110669754,296366.8161230072,158721.31453590945,0,0,468,0,
2160,293696.34649615287,5759185.558678531,0.8085958821063636,4634714.005410078,293696.34649615287,151443.9515969522,0,0,477,0,
2220,288763.06032760465,6047948.6190061355,1.1350311902650292,4882615.942888142,288763.06032760465,141228.67088456693,0,0,466,0,
