VE
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, e_ini, size_ratio, subs_NOx, min_packages, max_packages,
60,80000,100000,100000,4000,4,9000,1,20,
ALL SIMULATION RESULTS,
total_steps(sec), minutes, avg_time_per_package (sec), p_t_total_all_steps, e_t_total_all_steps, p_t_control_zone_all_steps,  e_t_control_zone_all_steps, avg_k_all_steps, veh_enter_cz_all_steps, not_veh_enter_cz_all_steps, avg_total_time_all_steps
5790,96.0,1692.2222324468576,671973804.7364477,15600057.823129488,11947356.987937069,705946.7421488218,34.5180457761155,311,715,1695.687134502924
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.8537456976449606,85265.15488478143,454.59762078585607,96316.28872119535,0,0.0,12,0,
120,3534.4199646280235,3989.0175854138797,1.138973494774893,60262.10907288528,3534.4199646280235,90065.52726822131,0,0.18418556394023253,29,0,
180,18091.844226691937,22080.861812105817,1.1055098475906455,38555.59878631398,18091.844226691937,84115.93863990551,0,0.4967236365889345,43,0,
240,33121.79637853597,55202.658190641785,0.9020276102957687,39204.40119420228,33121.79637853597,79997.69014724359,0,0.7942030680047246,62,0,
300,38251.2612524624,93453.91944310418,0.9981740348367764,41521.397192540724,38251.2612524624,75014.1238337126,0,1,79,0,
360,49133.31317840492,142587.23262150912,0.9797964259154952,55382.039037987815,49133.31317840492,70195.95600047315,0,1,100,0,
420,61868.66499210727,204455.89761361637,1.060637189089105,79067.76522288729,61868.66499210727,64650.2212986712,32.76943860438014,1,116,3,
480,72738.1505241563,277194.04813777265,1.1154893404542052,111648.29949069221,72738.1505241563,58610.81723458335,260.57333870291046,1,134,10,
540,75620.45801537608,352814.5061531487,0.837543834709694,157117.17945651928,75620.45801537608,55447.44637010645,4374.523647910348,1,145,25,
600,78623.20827179015,431437.7144249389,0.8113389906088025,206532.18406639254,78623.20827179015,64421.82838639,16276.432931762767,1,158,47,
660,81966.65103593968,513404.3654608786,1.1343060415679478,247663.8176058861,81966.65103593968,89255.23463803847,35042.160625760014,1,176,57,
720,89761.10572397534,603165.4711848539,0.9731068271620213,302393.0775520287,89761.10572397534,119244.74119108872,38747.46799750844,0.5372382680980765,199,76,
780,107348.7692127524,710514.2403976063,1.1049120329831768,369965.01357738674,107348.7692127524,149531.00856611822,40230.47567187808,0,213,81,
840,108478.28198279726,818992.5223804035,0.8008424213404444,449612.968391928,108478.28198279726,182057.51937643706,39734.09260238286,0,229,79,
900,118655.91114796455,937648.433528368,0.9781548776219205,533055.3039455034,118655.91114796455,214464.134416444,41210.008938604195,0,247,77,
960,130421.89003785474,1068070.3235662228,1.088616012936313,624287.017517651,130421.89003785474,245534.12959524634,40867.53929522915,0,266,71,
1020,134130.8036001617,1202201.1271663844,0.8915048885081811,726323.6451315181,134130.8036001617,266476.8921414253,28966.30654275252,0,284,63,
1080,151173.9809433426,1353375.108109727,1.1781082782215688,835085.7280588844,151173.9809433426,271528.53279863845,15654.615161207297,0,299,39,
1140,164062.35908404755,1517437.4671937746,1.1605709830445934,957367.5317533266,164062.35908404755,264700.194489828,3616.8005385909228,0,314,31,
1200,173656.69865280515,1691094.1658465797,0.8122359932134214,1101783.7346504487,173656.69865280515,257432.8099149745,42.73936406724611,0,329,9,
1260,186219.78045407665,1877313.9463006563,0.8101783443973843,1258837.0947062194,186219.78045407665,250141.20481539803,0,0,351,0,
1320,201428.3534363044,2078742.2997369608,1.0165649891173987,1423669.1085342974,201428.3534363044,240992.11991334145,0,0,364,0,
1380,215737.37891720622,2294479.678654167,1.1756596651114042,1597082.739507493,215737.37891720622,230411.1829273388,0,0,377,0,
1440,222920.85081523348,2517400.5294694,0.952481695075285,1785714.2493000163,222920.85081523348,221838.84767166123,0,0,387,0,
1500,234248.55324324674,2751649.082712647,0.8866397588522453,1988043.771224582,234248.55324324674,213859.08984199102,0,0,367,0,
1560,242946.1522365539,2994595.234949201,0.9688466302330869,2196111.444772745,242946.1522365539,205139.47016989323,0,0,374,0,
1620,249733.03447569368,3244328.2694248944,0.8116163150299472,2416626.2919073603,249733.03447569368,197834.92333462372,0,0,370,0,
1680,252490.93393420172,3496819.2033590963,0.8886766665092141,2637124.8658472304,252490.93393420172,189836.83333604079,0,0,389,0,
1740,259521.3368360556,3756340.5401951517,0.9751550374602288,2861540.6213347176,259521.3368360556,181060.43799889873,0,0,399,0,
1800,278129.8382603056,4034470.3784554573,0.9983248965527403,3103730.7633191245,278129.8382603056,172075.51392992408,0,0,415,0,
1860,291456.228645278,4325926.607100735,0.8932337801030291,3363030.5758806937,291456.228645278,164036.4099089968,0,0,431,0,
1920,301249.96859287244,4627176.575693608,0.8923466166163937,3632156.066275376,301249.96859287244,156005.29035944925,0,0,445,0,
1980,308538.71367589425,4935715.289369502,0.8875124149350755,3908744.3330136077,308538.71367589425,148017.6786250336,0,0,457,0,
2040,307251.7916928175,5242967.08106232,0.9838413862950934,4180577.8347998015,307251.7916928175,139163.10614837776,0,0,466,0,
2100,293155.0624635944,5536122.143525914,0.9159126458361943,4440760.042013292,293155.0624635944,130919.89233585201,0,0,468,0,
2160,287411.23778956785,5823533.381315482,0.8085958821063636,4699061.828047031,287411.23778956785,123642.52939689474,0,0,477,0,
2220,293752.8197849846,6117286.201100467,1.1350311902650292,4951953.524982475,293752.8197849846,113427.24868450947,0,0,463,0,
