VEP
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, e_ini, size_ratio, subs_NOx, min_packages, max_packages,
60,80000,100000,100000,4000,4,9000,1,20,
ALL SIMULATION RESULTS,
total_steps(sec), minutes, avg_time_per_package (sec), p_t_total_all_steps, e_t_total_all_steps, p_t_control_zone_all_steps,  e_t_control_zone_all_steps, avg_k_all_steps, veh_enter_cz_all_steps, not_veh_enter_cz_all_steps, avg_total_time_all_steps
5794,97.0,1693.0778503726879,672676351.7549685,15613006.630848173,12021655.561556486,700488.9236031993,33.79873624244236,300,726,1700.962962962963
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.8537456976449606,85265.15488478143,454.59762078585607,96316.28872119535,0,0.0,12,0,
120,3534.4199646280235,3989.0175854138797,1.138973494774893,60262.10907288528,3534.4199646280235,90065.52726822131,0,0.18418556394023253,29,0,
180,18091.844226691937,22080.861812105817,1.1055098475906455,38555.59878631398,18091.844226691937,84115.93863990551,0,0.4967236365889345,43,0,
240,33121.79637853597,55202.658190641785,0.9020276102957687,39204.40119420228,33121.79637853597,79997.69014724359,0,0.7942030680047246,62,0,
300,38251.2612524624,93453.91944310418,0.9981740348367764,41521.397192540724,38251.2612524624,75014.1238337126,0,1,79,0,
360,49133.31317840492,142587.23262150912,0.9797964259154952,55382.039037987815,49133.31317840492,70195.95600047315,0,1,100,0,
420,61868.66499210727,204455.89761361637,1.060637189089105,79067.76522288729,61868.66499210727,64650.2212986712,32.76943860438014,1,116,3,
480,72738.1505241563,277194.04813777265,1.1154893404542052,111648.29949069221,72738.1505241563,58610.81723458335,260.57333870291046,1,134,10,
540,75620.45801537608,352814.5061531487,0.837543834709694,157117.17945651928,75620.45801537608,55447.44637010645,4374.523647910348,1,145,25,
600,78623.20827179015,431437.7144249389,0.8113389906088025,206532.18406639254,78623.20827179015,64421.82838639,16276.432931762767,1,158,47,
660,81966.65103593968,513404.3654608786,1.1343060415679478,247663.8176058861,81966.65103593968,89255.23463803847,35042.160625760014,1,176,57,
720,89912.44281252555,603316.8082734041,0.9731068271620213,302544.4146405789,89912.44281252555,119494.42418204274,38997.15098846247,0.5372382680980765,199,78,
780,106871.29071166627,710188.0989850704,1.1049120329831768,369638.8721648508,106871.29071166627,150335.65604136337,40785.44015616921,0,213,85,
840,108803.4142279662,818991.5132130366,0.8008424213404444,449611.95922456105,108803.4142279662,184230.72717343175,41102.65292413239,0,229,83,
900,121002.66903475446,939994.1822477911,0.9781548776219205,535401.0526649264,121002.66903475446,217799.89490112048,42372.561626286006,0,247,81,
960,129086.03195363276,1069080.2142014238,1.088616012936313,625296.9081528519,129086.03195363276,249106.40479043036,41104.0540057367,0,266,75,
1020,137036.97663656704,1206117.190837991,0.8915048885081811,730239.7088031244,137036.97663656704,270258.445739968,29175.584946111274,0,284,67,
1080,147888.04101487919,1354005.2318528702,1.1781082782215688,835715.8518020271,147888.04101487919,275411.1230538238,15755.65181784988,0,299,43,
1140,162257.99446587224,1516263.2263187424,1.1605709830445934,956193.2908782939,162257.99446587224,268992.9347887584,4026.950582335995,0,314,35,
1200,174034.62874544619,1690297.8550641886,0.8122359932134214,1100987.4238680569,174034.62874544619,261737.89967314218,55.08882330456812,0,329,13,
1260,194390.9218987782,1884688.776962967,0.8101783443973843,1266211.9253685293,194390.9218987782,254446.2945735657,0,0,351,0,
1320,203114.01333277574,2087802.7902957427,1.0165649891173987,1432729.5990930786,203114.01333277574,245297.20967150913,0,0,364,0,
1380,212776.11738920814,2300578.9076849506,1.1756596651114042,1603181.9685382762,212776.11738920814,234716.2726855065,0,0,377,0,
1440,223520.90037063352,2524099.8080555843,0.952481695075285,1792413.5278861993,223520.90037063352,226143.93742982892,0,0,388,0,
1500,234403.77172947617,2758503.5797850606,0.8866397588522453,1994898.2682969947,234403.77172947617,218164.1796001587,0,0,367,0,
1560,246024.54648013515,3004528.1262651957,0.9688466302330869,2206044.336088739,246024.54648013515,209444.55992806092,0,0,373,0,
1620,249473.70476617868,3254001.831031374,0.8116163150299472,2426299.853513839,249473.70476617868,202140.0130927914,0,0,366,0,
1680,253423.22712255133,3507425.0581539255,0.8886766665092141,2647730.7206420586,253423.22712255133,194141.92309420847,0,0,385,0,
1740,256307.02364567402,3763732.0817995993,0.9751550374602288,2868932.1629391643,256307.02364567402,185365.52775706642,0,0,395,0,
1800,278004.36179150775,4041736.443591107,0.9983248965527403,3110996.8284547734,278004.36179150775,176380.60368809177,0,0,411,0,
1860,294563.26302847656,4336299.706619584,0.8932337801030291,3373403.675399541,294563.26302847656,168341.4996671645,0,0,427,0,
1920,299646.4940195693,4635946.200639153,0.8923466166163937,3640925.69122092,299646.4940195693,160310.38011761694,0,0,442,0,
1980,306787.0286337248,4942733.229272878,0.8875124149350755,3915762.2729169824,306787.0286337248,152322.76838320127,0,0,454,0,
2040,300242.31267427723,5242975.541947155,0.9838413862950934,4180586.295684636,300242.31267427723,143468.19590654544,0,0,460,0,
2100,290532.67381772154,5533508.215764876,0.9159126458361943,4438146.114252254,290532.67381772154,135224.9820940197,0,0,467,0,
2160,285335.6156551078,5818843.831419984,0.8085958821063636,4694372.278151533,285335.6156551078,127947.61915506244,0,0,477,0,
2220,286637.64619125845,6105481.477611242,1.1350311902650292,4940148.80149325,286637.64619125845,117732.33844267717,0,0,461,0,
