1;2;3;4;5;6;7;8;9;10;11
noControl
PARAMETERS
window_size;threshold_L;threshold_H;p_t_ini;e_ini;size_ratio;subs_NOx;min_packages;max_packages
60;80000;100000;100000;4000;4;9000;1;20
ALL SIMULATION RESULTS
total_steps(sec);minutes;avg_time_per_package (sec);p_t_total_all_steps;e_t_total_all_steps;p_t_control_zone_all_steps;e_t_control_zone_all_steps;avg_k_all_steps;veh_enter_cz_all_steps;not_veh_enter_cz_all_steps;avg_total_time_all_steps
15845;264.0;1341.6116604769788;4387112751.156003;43154509.2340158;1585389192.765395;14300771.310647463;1.0;4233;0;1342.4880699267658
WINDOWS
step;NOx_total_w;NOx_total_acum;lambda;p_t_total;e_t_total;p_t_control_zone;e_t_control_zone;k_control_zone;num_veh_total;num_vehicles_control_zone
1740;197744.48791741507;3302472.6947262664;1.1389977465389838;2442496.5014500786;197744.48791741507;903810.4568868281;74227.52181911425;1;337;145
1800;197208.36305276953;3499681.057779036;1.0414904125467563;2602211.2096511647;197208.36305276953;977545.5117074313;83108.46853352406;1;346;148
1860;202995.242633914;3702676.30041295;1.122851309309752;2764783.8051499277;202995.242633914;1059441.3543583788;92001.50443473527;1;350;148
1920;207351.8156067712;3910028.116019721;1.091892714677527;2932827.483028308;207351.8156067712;1149649.988997878;100035.66907159696;1;359;140
1980;197917.30663268364;4107945.4226524048;1.0144912365818803;3094223.105144044;197917.30663268364;1248668.839221438;108149.27135279689;1;355;147
2040;198999.0987939989;4306944.521446404;1.1892463055917482;3250409.3369367397;198999.0987939989;1356753.6511732119;118788.02870209959;1;357;149
2100;202387.80067985263;4509332.322126256;0.9514137508833413;3418546.242584792;202387.80067985263;1464716.6334465672;116525.70603130547;1;374;150
2160;204904.47271239094;4714236.794838647;1.0208162525092908;3586701.3302068487;204904.47271239094;1553855.5906546193;98326.30348063569;1;371;146
2220;198423.32685564493;4912660.121694292;1.1317618657011979;3744381.2298972504;198423.32685564493;1637820.4059144598;94150.67205115118;1;357;136
2280;202327.02283849008;5114987.144532782;1.0474079009456985;3909001.5683016954;202327.02283849008;1705239.3481222307;76845.61331628224;1;343;125
2340;191120.5268302435;5306107.671363026;1.1446827601243108;4058913.5157674635;191120.5268302435;1751837.7009649873;56900.49768387538;1;351;124
2400;199919.51985523538;5506027.191218262;1.0309408581027049;4221719.1647310015;199919.51985523538;1790150.465134179;47591.23189211606;1;352;116
2460;203784.9911667898;5709812.182385052;1.0818287344859694;4386558.321456296;203784.9911667898;1819916.0538928055;39502.0473690003;1;359;121
2520;206386.58716512247;5916198.7695501745;0.8183297534622649;4563485.037496777;206386.58716512247;1842677.7916036388;30126.705491993704;1;366;128
2580;206503.67828683445;6122702.447837009;0.8911593102606188;4737906.98061423;206503.67828683445;1865792.2520575372;31134.89424624385;1;358;137
2640;182675.3208984141;6305377.768735423;0.9157551854408429;4887615.114836773;182675.3208984141;1883670.9117579926;26120.456369423133;1;354;132
2700;143012.12366655216;6448389.892401975;0.831916790769451;5000678.234035624;143012.12366655216;1909540.8399293665;33357.17928829908;1;337;127
2760;121281.77113948586;6569671.66354146;0.8931163545444121;5089807.816411511;121281.77113948586;1928351.5233817438;26848.730643277042;1;335;132
2820;112371.16213567334;6682042.825677134;0.8404005717638917;5171924.557963684;112371.16213567334;1949684.5928345234;28896.674598654816;1;339;125
2880;111768.6505018306;6793811.476178965;0.9111894412440369;5250890.388580729;111768.6505018306;1977492.5665704845;36008.67870715741;1;346;126
2940;124760.49467537798;6918571.970854343;1.05427377770576;5337697.0272587;124760.49467537798;2009344.129306184;41340.02673505125;1;356;140
3000;127122.55126152847;7045694.522115871;0.9459328715880337;5430765.995143059;127122.55126152847;2042188.7504011802;41358.01693928866;1;368;132
3060;127947.89999759744;7173642.422113469;0.9480723868467531;5524583.289214173;127947.89999759744;2067438.3586417444;33782.25972218481;1;370;135
3120;130102.45880986613;7303744.880923335;0.8838028123085951;5622868.846780931;130102.45880986613;2087215.88811799;27731.754787022834;1;370;118
3180;127425.79058330403;7431170.67150664;0.9067911288196454;5717650.156726727;127425.79058330403;2109503.444114701;30448.676156087593;1;372;122
3240;134130.48151007842;7565301.153016718;1.1746618350849976;5809492.812173746;134130.48151007842;2131161.0991441673;32229.611545231382;1;379;133
3300;126031.67143434063;7691332.824451059;1.0592141540986373;5897392.774060535;126031.67143434063;2154417.8656776138;32789.693920334175;1;391;130
3360;134123.70669058937;7825456.531141648;1.0436524022667952;5993944.99426952;134123.70669058937;2184296.1623668256;39271.16830961324;1;400;148
3420;136328.3537287712;7961784.884870419;0.8684554592792388;6099008.951464239;136328.3537287712;2222434.3064326216;45954.243199308745;1;403;157
3480;146274.5017416371;8108059.386612057;1.0916507191801397;6205984.027315391;146274.5017416371;2271529.247726658;58919.7977666574;1;396;153
3540;137159.98165272412;8245219.368264781;0.8653609975047714;6311991.013057944;137159.98165272412;2329752.309689065;66011.31093994976;1;406;143
3600;140870.0335611362;8386089.401825918;0.9517821767030591;6418596.888257771;140870.0335611362;2384078.893283771;62892.62318503349;1;413;160
3660;140440.5572141765;8526529.959040094;1.195809340254638;6515988.30922278;140440.5572141765;2433798.1218854017;60481.5126639226;1;392;156
3720;136649.00716195055;8663178.966202045;1.055999903941637;6614621.319842832;136649.00716195055;2480503.864117408;56209.74136748134;1;409;148
3780;148834.77078589788;8812013.736987943;1.0227798975098585;6726636.014318375;148834.77078589788;2531038.7209042753;59739.8758644559;1;422;164
3840;164526.61835917833;8976540.355347121;1.0738457003959498;6852504.187463299;164526.61835917833;2583727.3645164026;62353.25491569097;1;420;166
3900;162761.23026522817;9139301.58561235;1.1371407680759238;6974328.350077794;162761.23026522817;2626682.6817647214;53189.58416100237;1;422;168
3960;160028.23793771665;9299329.823550066;1.1103999646184979;7094382.189289245;160028.23793771665;2662847.634537729;46158.55245457386;1;424;175
4020;175075.91859662565;9474405.742146691;0.8916192287856418;7237359.815649587;175075.91859662565;2699776.4850197267;44953.423541068674;1;423;165
4080;174926.90341946285;9649332.645566154;0.8128400975616151;7383024.475556832;174926.90341946285;2742048.6059007957;49587.68175912355;1;447;179
4140;180244.30097916533;9829576.94654532;0.9261812192236327;7529926.252643947;180244.30097916533;2793409.991237106;59697.01630932278;1;441;182
4200;192390.73126959195;10021967.677814912;0.9070963503902811;7689661.515299489;192390.73126959195;2845879.367822843;60633.2437392496;1;432;183
4260;198869.73042469643;10220837.408239609;0.8843931374345306;7856693.0927765425;198869.73042469643;2903918.66754264;65998.83795670792;1;438;186
4320;191701.23541671888;10412538.643656328;1.1771638857340219;8006016.428306837;191701.23541671888;2947752.4822087693;54428.28963773567;1;443;151
4380;189819.8009705197;10602358.444626847;1.1505470505890676;8154416.53545615;189819.8009705197;2996240.457094479;58842.89834101112;1;451;146
4440;197834.7943239229;10800193.23895077;0.9258711523193912;8318919.968296574;197834.7943239229;3050494.772003161;62587.15527955618;1;457;170
4500;197265.82233734571;10997459.061288116;1.062175466117952;8477947.473853674;197265.82233734571;3108290.283839522;67355.09103142294;1;468;167
4560;206069.15166769756;11203528.212955814;0.9582527604242657;8649519.526146097;206069.15166769756;3176285.3936374756;76619.38464177234;1;474;186
4620;213307.8922642458;11416836.105220059;1.1658190358962175;8820857.933118079;213307.8922642458;3248450.4425953473;82657.42028093764;1;491;177
4680;211614.58650016037;11628450.69172022;0.9835407410349595;8997065.052940981;211614.58650016037;3320035.56353298;80436.98760694718;1;482;182
