noControl
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, min_packages, max_packages,
60,80000,100000,100000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.8537456976449606,85265.15488478143,454.59762078585607,96316.28872119535,0,1,12,0,
120,1377.2743119678446,1831.8719327537005,1.138973494774893,60262.10907288528,1377.2743119678446,90065.52726822131,0,1,29,0,
180,2017.0983816655314,3848.9703144192317,1.1055098475906455,36463.75455962204,2017.0983816655314,84115.93863990551,0,1,43,0,
240,2804.1938423855563,6653.164156804788,0.9020276102957687,19990.760588974365,2804.1938423855563,79997.69014724359,0,1,62,0,
300,4189.576862673945,10842.741019478734,0.9981740348367764,56.4953348504132,4189.576862673945,75014.1238337126,0,1,79,0,
360,5293.121092230571,16135.862111709304,0.9797964259154952,0,5293.121092230571,70195.95600047315,0,1,100,0,
420,6947.532242792709,23083.394354502016,1.060637189089105,0,6947.532242792709,64650.2212986712,42.45045713149039,1,116,3,
480,8204.490417929208,31287.88477243122,1.1154893404542052,0,8204.490417929208,58610.81723458335,316.8642998695134,1,134,10,
540,8958.482085828375,40246.3668582596,0.837543834709694,0,8958.482085828375,55072.922722196105,1012.7071459174243,1,145,24,
600,10089.529575132123,50335.896433391725,0.8113389906088025,0,10089.529575132123,51770.87180671688,1937.5125633098046,1,158,47,
660,11170.59014256177,61506.486575953495,1.1343060415679478,0,11170.59014256177,45562.11743260535,3044.731731920683,1,176,57,
720,12678.241006129776,74184.72758208327,0.9731068271620213,0,12678.241006129776,41134.68028152324,4330.524293376086,1,199,86,
780,14396.519564621709,88581.24714670498,1.1049120329831768,0,14396.519564621709,37084.18928516969,5893.717300495048,1,213,100,
840,15746.658419808264,104327.90556651325,0.8008424213404444,0,15746.658419808264,37109.40533988293,7232.797846777231,1,229,119,
900,17498.66825364581,121826.57382015906,0.9781548776219205,0,17498.66825364581,36907.12825728513,8601.116815999485,1,247,134,
960,19382.962844713846,141209.5366648729,1.088616012936313,0,19382.962844713846,36159.105207349916,9049.521066491601,1,266,139,
1020,20617.44804054851,161826.9847054214,0.8915048885081811,0,20617.44804054851,37038.58188875537,8903.020677979084,1,284,143,
1080,22314.07877266051,184141.06347808192,1.1781082782215688,0,22314.07877266051,35360.176883194465,8924.569498433219,1,299,137,
1140,23883.923087642474,208024.9865657244,1.1605709830445934,0,23883.923087642474,33713.059195249705,8798.021159456577,1,314,144,
1200,25431.8179867368,233456.8045524612,0.8122359932134214,0,25431.8179867368,34747.50498626682,8344.5697299379,1,329,141,
1260,27484.69302639788,260941.49757885907,0.8101783443973843,0,27484.69302639788,36475.96758021619,9020.067693525834,1,351,130,
1320,29670.953037897987,290612.45061675704,1.0165649891173987,0,29670.953037897987,36203.683634469344,8876.800956309746,1,364,130,
1380,29344.43104418747,319956.8816609445,1.1756596651114042,0,29344.43104418747,35090.833686303085,9468.087037836383,1,376,124,
1440,30445.024673820968,350401.9063347655,0.952481695075285,0,30445.024673820968,36136.00243457561,9617.504003950091,1,388,125,
1500,30415.33950892965,380817.2458436951,0.8866397588522453,0,30415.33950892965,39043.20475858174,10886.96015367634,1,369,139,
1560,30280.154685832447,411097.4005295276,0.9688466302330869,0,30280.154685832447,42856.38372772108,12532.798641237116,1,366,139,
1620,28927.480562339904,440024.88109186746,0.8116163150299472,0,28927.480562339904,48242.73685175897,12690.899959307422,1,348,133,
1680,27631.73330796067,467656.61439982813,0.8886766665092141,0,27631.73330796067,52176.46679308888,11931.819939912833,1,356,154,
1740,26896.83474403258,494553.4491438607,0.9751550374602288,0,26896.83474403258,55097.68655880098,11697.615102854155,1,341,145,
1800,27235.017665401294,521788.466809262,0.9983248965527403,0,27235.017665401294,58503.04890807696,12390.286418250647,1,346,141,
1860,27878.09451313537,549666.5613223973,0.8932337801030291,0,27878.09451313537,62087.901829824594,11623.956942674893,1,350,148,
1920,28199.91008019161,577866.4714025889,0.8923466166163937,0,28199.91008019161,64904.79948601742,10848.017205740374,1,358,142,
1980,29771.898676998328,607638.3700795872,0.8875124149350755,0,29771.898676998328,67770.48884980354,10853.301098201808,1,355,147,
2040,28505.03359040979,636143.403669997,0.9838413862950934,0,28505.03359040979,69449.91195774994,10533.99558460224,1,359,147,
2100,29511.682094287014,665655.085764284,0.9159126458361943,0,29511.682094287014,70717.79889430739,9511.1007490832,1,374,152,
