vType;em_means
eVehicle;0.0
gasolineEuroSix;0.010597641429185019
highEmissions;0.018165329021563426
normalVehicle;0.03621410731388977
hovDieselEuroSix;0.09185250459704208
dieselEuroSix;0.1708593719468551
truck;1.0
