RREP;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; not_veh_enter_cz_all_steps; avg_total_time_all_steps;
6151;103.0;1815.729456151652;848672452.8173604;18318009.72171449;11616063.341645015;683754.8032333498;0.40617395094239733;462;564;1834.5945419103314;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;457.5817688158486;457.5817688158486;0.8537456976449606;85265.15488478143;457.5817688158486;96316.28872119535;0;0.0;12;0;
120;3952.313507848202;4409.8952766640505;1.138973494774893;60262.10907288528;3952.313507848202;90065.52726822131;0;0.18418556394023253;29;0;
180;18240.404736137072;22650.300012801123;1.1055098475906455;38704.15929575911;18240.404736137072;84115.93863990551;0;0.4967236365889345;43;0;
240;32700.500291931075;55350.8003047322;0.9020276102957687;38931.66561704251;32700.500291931075;79997.69014724359;0;0.7942030680047246;62;0;
300;39130.02260328601;94480.8229080182;0.9981740348367764;42127.42296620457;39130.02260328601;75014.1238337126;0;1;80;0;
360;48939.10907606929;143419.9319840875;0.9797964259154952;55793.86070931603;48939.10907606929;70195.95600047315;0;1;100;0;
420;62281.167233157095;205701.0992172446;1.060637189089105;79892.08913526534;62281.167233157095;64650.2212986712;33.68360754752035;1;116;3;
480;72399.73194509995;278100.83116234455;1.1154893404542052;112134.2048240139;72399.73194509995;58610.81723458335;268.7117866256498;1;134;10;
540;75426.49102043967;353527.3221827842;0.837543834709694;157409.1177949046;75426.49102043967;55610.85642334631;4537.933701150204;1;145;25;
600;79891.33447975242;433418.6566625366;0.8113389906088025;208092.24861274014;79891.33447975242;65436.56586576719;17127.7603579001;1;159;48;
660;81354.08679883185;514772.7434613685;1.1343060415679478;248611.3179151259;81354.08679883185;90166.92548434692;34939.113992691266;1;177;57;
720;90947.08487393595;605719.8283353044;0.9731068271620213;304526.55701122904;90947.08487393595;121004.47451449526;39595.51047460653;0.49165372578265376;199;85;
780;107707.45162572317;713427.2799610276;1.1049120329831768;372457.17544955784;107707.45162572317;153040.84549852664;41980.57928087996;0;213;93;
840;109580.29290974393;823007.5728707715;0.8008424213404444;453207.1411910458;109580.29290974393;187083.7072688544;41250.443562391774;0;230;94;
900;114095.1686967102;937102.7415674818;0.9781548776219205;532088.7342933669;114095.1686967102;220127.10193677878;41846.78856652167;0;248;92;
960;124633.59302909546;1061736.3345965773;1.088616012936313;617532.1508567551;124633.59302909546;250666.42276482462;40336.864944472654;0;266;91;
1020;137179.04633459623;1198915.3809311735;0.8915048885081811;722617.0212050568;137179.04633459623;272603.98858344916;29961.10981519823;0;284;85;
1080;149876.09553924043;1348791.4764704139;1.1781082782215688;830081.2187283207;149876.09553924043;278646.1612507618;16645.147171306795;0;300;68;
1140;161528.65924390254;1510320.1357143163;1.1605709830445934;949829.3225826179;161528.65924390254;272692.2705424584;4491.248139097948;0;314;61;
1200;167290.50686932268;1677610.642583639;0.8122359932134214;1087879.3336962573;167290.50686932268;265468.77186123515;86.62525769753911;0;329;39;
1260;183936.48506325757;1861547.1276468965;0.8101783443973843;1242649.398361209;183936.48506325757;258177.16676165868;0.0;0;351;23;
1320;198544.98883405674;2060092.1164809533;1.0165649891173987;1404598.0475870394;198544.98883405674;249028.0818596021;0.0;0;364;23;
1380;211267.97524487253;2271360.091725826;1.1756596651114042;1573542.2748879013;211267.97524487253;238447.14487359946;0.0;0;376;24;
1440;222197.0931614092;2493557.184887235;0.952481695075285;1761450.0270266002;222197.0931614092;229874.80961792188;0.0;0;386;24;
1500;232026.81019815474;2725583.99508539;0.8866397588522453;1961557.8059060741;232026.81019815474;221895.05178825167;0.0;0;366;25;
1560;232726.14343993345;2958310.1385253235;0.9688466302330869;2159405.470657617;232726.14343993345;213175.43211615388;0.0;0;368;23;
1620;231048.20754592394;3189358.3460712475;0.8116163150299472;2361235.4908624627;231048.20754592394;205870.88528088437;0.0;0;355;18;
1680;252216.96960921327;3441575.3156804605;0.8886766665092141;2581460.100477344;252216.96960921327;197872.79528230143;0.0;0;370;25;
1740;257945.40186034585;3699520.717540806;0.9751550374602288;2804299.9209891213;257945.40186034585;189096.39994515938;0.0;0;380;25;
1800;273942.4487921654;3973463.1663329713;0.9983248965527403;3042302.6735053877;273942.4487921654;180111.47587618473;0.0;0;395;31;
1860;285719.88565889077;4259183.051991862;0.8932337801030291;3295866.14308057;285719.88565889077;172072.37185525746;0.0;0;409;34;
1920;282600.8478053787;4541783.899797241;0.8923466166163937;3546342.5126877585;282600.8478053787;164041.2523057099;0.0;0;422;30;
1980;294769.8440413789;4836553.74383862;0.8875124149350755;3809161.9097914747;294769.8440413789;156053.64057129424;0.0;0;429;33;
2040;301210.2164949443;5137763.960333564;0.9838413862950934;4074953.836379796;301210.2164949443;147199.0680946384;0.0;0;442;34;
