vType;em_means
eVehicle-1;0.009090909090909085
eVehicle-2;0.01818181818181817
eVehicle-3;0.027272727272727254
eVehicle-4;0.03636363636363634
eVehicle-5;0.04545454545454543
eVehicle-6;0.054545454545454515
eVehicle-7;0.0636363636363636
eVehicle-8;0.07272727272727268
eVehicle-9;0.08181818181818176
eVehicle-10;0.09090909090909084
eVehicle-11;0.09999999999999992
eVehicle-12;0.109090909090909
eVehicle-13;0.11818181818181808
eVehicle-14;0.12727272727272718
eVehicle-15;0.13636363636363627
eVehicle-16;0.14545454545454536
eVehicle-17;0.15454545454545446
eVehicle-18;0.16363636363636355
eVehicle-19;0.17272727272727265
eVehicle-20;0.18181818181818174
gasolineEuroSix-20;0.19090909090909083
gasolineEuroSix-19;0.19999999999999993
gasolineEuroSix-18;0.20909090909090902
gasolineEuroSix-17;0.21818181818181812
gasolineEuroSix-16;0.2272727272727272
gasolineEuroSix-15;0.2363636363636363
highEmissions-20;0.24090909090909085
gasolineEuroSix-14;0.24999999999999994
highEmissions-19;0.25454545454545446
gasolineEuroSix-13;0.26363636363636356
highEmissions-18;0.2681818181818181
highEmissions-17;0.2727272727272726
normalVehicle-20;0.2818181818181817
gasolineEuroSix-12;0.2909090909090908
normalVehicle-19;0.2999999999999999
highEmissions-16;0.3045454545454544
gasolineEuroSix-11;0.3136363636363635
normalVehicle-18;0.3227272727272726
highEmissions-15;0.3272727272727271
normalVehicle-17;0.3363636363636362
highEmissions-14;0.3409090909090907
gasolineEuroSix-10;0.3499999999999998
normalVehicle-16;0.3590909090909089
highEmissions-13;0.3636363636363634
normalVehicle-15;0.3727272727272725
gasolineEuroSix-9;0.3818181818181816
highEmissions-12;0.38636363636363613
normalVehicle-14;0.3954545454545452
gasolineEuroSix-8;0.4045454545454543
highEmissions-11;0.40909090909090884
normalVehicle-13;0.41818181818181793
normalVehicle-12;0.427272727272727
highEmissions-10;0.43181818181818155
gasolineEuroSix-7;0.44090909090909064
normalVehicle-11;0.44999999999999973
highEmissions-9;0.45454545454545425
normalVehicle-10;0.46363636363636335
gasolineEuroSix-6;0.47272727272727244
highEmissions-8;0.47727272727272696
normalVehicle-9;0.48636363636363605
highEmissions-7;0.4909090909090906
gasolineEuroSix-5;0.49999999999999967
normalVehicle-8;0.5090909090909087
highEmissions-6;0.5136363636363632
normalVehicle-7;0.5227272727272723
gasolineEuroSix-4;0.5318181818181813
hovDieselEuroSix-20;0.5409090909090903
normalVehicle-6;0.5499999999999994
hovDieselEuroSix-19;0.5590909090909084
highEmissions-5;0.5636363636363629
hovDieselEuroSix-18;0.572727272727272
hovDieselEuroSix-17;0.581818181818181
hovDieselEuroSix-16;0.59090909090909
normalVehicle-5;0.5999999999999991
gasolineEuroSix-3;0.6090909090909081
highEmissions-4;0.6136363636363626
hovDieselEuroSix-15;0.6227272727272717
dieselEuroSix-20;0.6318181818181807
hovDieselEuroSix-14;0.6409090909090898
dieselEuroSix-19;0.6499999999999988
dieselEuroSix-18;0.6590909090909078
hovDieselEuroSix-13;0.6681818181818169
normalVehicle-4;0.6772727272727259
dieselEuroSix-17;0.686363636363635
hovDieselEuroSix-12;0.695454545454544
dieselEuroSix-16;0.704545454545453
highEmissions-3;0.7090909090909076
hovDieselEuroSix-11;0.7181818181818166
dieselEuroSix-15;0.7272727272727256
gasolineEuroSix-2;0.7363636363636347
dieselEuroSix-14;0.7454545454545437
hovDieselEuroSix-10;0.7545454545454527
normalVehicle-3;0.7636363636363618
dieselEuroSix-13;0.7727272727272708
hovDieselEuroSix-9;0.7818181818181799
dieselEuroSix-12;0.7909090909090889
dieselEuroSix-11;0.7999999999999979
hovDieselEuroSix-8;0.809090909090907
highEmissions-2;0.8136363636363615
dieselEuroSix-10;0.8227272727272705
hovDieselEuroSix-7;0.8318181818181796
dieselEuroSix-9;0.8409090909090886
normalVehicle-2;0.8499999999999976
hovDieselEuroSix-6;0.8590909090909067
dieselEuroSix-8;0.8681818181818157
gasolineEuroSix-1;0.8772727272727248
dieselEuroSix-7;0.8863636363636338
hovDieselEuroSix-5;0.8954545454545428
dieselEuroSix-6;0.9045454545454519
hovDieselEuroSix-4;0.9136363636363609
highEmissions-1;0.9181818181818154
dieselEuroSix-5;0.9272727272727245
normalVehicle-1;0.9363636363636335
hovDieselEuroSix-3;0.9454545454545425
dieselEuroSix-4;0.9545454545454516
dieselEuroSix-3;0.9636363636363606
hovDieselEuroSix-2;0.9727272727272697
dieselEuroSix-2;0.9818181818181787
hovDieselEuroSix-1;0.9909090909090877
dieselEuroSix-1;0.9999999999999968
