VE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
5054;84.0;13.942.762.863.534.600;29.698.645.994.600.200;9.124.763.846.787.710;9.829.967.191.587.130;5.828.067.264.522.440;29.808.359.519.763.900;23;13.995.119.047.619.000;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
1920;19.649.158.083.189.200;35.059.215.416.763.300;0.8923466166163937;25.122.575.344.358.700;19.649.158.083.189.200;12.351.372.461.873.000;3.773.949.499.357.910;0.30973254126503236;42;10;
1980;19.470.297.307.564.200;3.700.624.514.751.970;0.8875124149350755;2.675.010.060.573.850;19.470.297.307.564.200;15.623.222.135.268.400;407.061.084.683.694;0;41;10;
2040;18.975.112.537.540.100;3.890.375.640.127.370;0.9838413862950934;2.829.342.896.042.630;18.975.112.537.540.100;18.710.073.242.953.000;3.972.308.355.350.120;0;42;10;
2100;19.376.897.783.866.800;40.841.446.179.660.400;0.9159126458361943;29.901.390.186.311.900;19.376.897.783.866.800;21.755.661.754.821.300;3.869.909.893.120.910;0;41;10;
2160;19.511.797.692.436.200;4.279.262.594.890.400;0.8085958821063636;31.561.475.437.997.300;19.511.797.692.436.200;24.294.222.821.352.800;3.266.297.360.427.240;0;41;10;
2220;19.415.616.677.567.800;4.473.418.761.666.080;11.350.311.902.650.200;3.309.442.587.725.860;19.415.616.677.567.800;25.551.119.493.582.300;22.784.247.434.679.900;0;40;8;
2280;20.055.824.153.278.400;4.673.977.003.198.870;10.225.817.290.609.700;3.473.187.887.012.450;20.055.824.153.278.400;25.144.043.919.681.200;5.132.479.822.537.790;0;41;3;
2340;19.930.705.342.679.000;4.873.284.056.625.660;10.569.177.451.729.700;3.634.445.901.613.020;19.930.705.342.679.000;24.192.817.949.025.500;0;0;40;0;
2400;19.652.417.461.281.600;506.980.823.123.848;0.8743625063578871;3.799.493.025.996.950;19.652.417.461.281.600;23.405.891.693.303.400;0;0;41;0;
2460;20.387.936.845.742.400;5.273.687.599.695.900;1.197.017.364.870.420;3.960.279.769.319.040;20.387.936.845.742.400;2.232.857.606.492.000;0;0;41;0;
2520;1.902.689.978.215.630;5.463.956.597.517.460;11.439.786.115.181.100;41.093.655.371.259.500;1.902.689.978.215.630;21.298.995.314.553.700;0;0;40;0;
2580;18.640.188.263.659.300;5.650.358.480.154.060;0.8483559839223226;4.265.226.604.341.340;18.640.188.263.659.300;20.535.474.929.023.600;0;0;35;0;
2640;1.685.507.296.505.270;5.818.909.209.804.580;0.9330780741440516;44.001.865.233.226.800;1.685.507.296.505.270;1.969.570.466.229.400;0;0;31;0;
