RRE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
5053;84.0;1.379.755.033.557.040;2.978.410.592.863.310;9.055.836.944.211.610;8.765.412.141.932.460;6.037.471.885.089.170;3.489.359.792.150.130;24;13.939.642.857.142.800;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
1920;1.983.507.871.760.550;35.289.937.945.223.500;0.8923466166163937;25.353.297.872.818.900;1.983.507.871.760.550;11.091.957.436.154.400;2.180.272.668.051.240;0.14260163847099902;42;6;
1980;1.994.109.886.393.280;37.284.047.831.616.700;0.8875124149350755;2.702.790.328.983.550;1.994.109.886.393.280;1.252.831.160.667.380;22.351.153.439.608.800;0;41;6;
2040;19.680.749.858.317.400;3.925.212.281.744.850;0.9838413862950934;2.864.179.537.660.100;19.680.749.858.317.400;14.029.596.360.703.600;2.386.742.001.695.470;0;42;6;
2100;20.436.666.807.960.900;41.295.789.498.244.600;0.9159126458361943;3.035.573.350.489.610;20.436.666.807.960.900;15.314.219.710.597.500;21.089.447.311.464.400;0;41;6;
2160;20.420.329.785.216.400;4.333.782.247.676.620;0.8085958821063636;3.210.667.196.585.950;20.420.329.785.216.400;15.562.100.804.784.800;9.756.173.880.829.880;0;41;4;
2220;20.156.573.254.559.300;4.535.347.980.222.220;11.350.311.902.650.200;3.371.371.806.282.000;20.156.573.254.559.300;15.288.491.828.356.200;7.479.190.948.099.930;0;40;2;
2280;1.971.313.859.994.730;4.732.479.366.221.690;10.225.817.290.609.700;35.316.902.500.352.800;1.971.313.859.994.730;14.706.214.565.098.700;33.804.629.289.728.300;0;41;2;
2340;20.169.315.578.497.000;4.934.172.522.006.660;10.569.177.451.729.700;36.953.343.669.940.200;20.169.315.578.497.000;13.754.988.594.443.000;0;0;40;0;
2400;19.497.841.751.693.600;5.129.150.939.523.600;0.8743625063578871;38.588.357.342.820.700;19.497.841.751.693.600;12.968.062.338.720.900;0;0;41;0;
2460;20.614.160.757.903.400;5.335.292.547.102.630;1.197.017.364.870.420;40.218.847.167.257.700;20.614.160.757.903.400;11.890.746.710.337.500;0;0;41;0;
