noControl;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
4757;79.0;11.766.968.680.089.400;17.610.003.120.417.100;6.474.050.007.049.070;7.370.806.756.817.780;21.373.250.817.724.600;80;84;11.814.285.714.285.700;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
1920;15.039.148.789.842.200;2.894.608.646.195.650;0.8923466166163937;19.009.446.389.551.900;15.039.148.789.842.200;7.817.291.988.906.280;8.117.617.477.345.160;1;38;23;
1980;14.865.751.954.774.400;30.432.661.657.434.000;0.8875124149350755;20.176.517.115.652.700;14.865.751.954.774.400;8.470.155.587.357.890;7.327.397.157.957.690;1;37;23;
2040;1.408.036.358.242.750;3.184.069.801.567.670;0.9838413862950934;2.123.037.057.482.930;1.408.036.358.242.750;9.102.233.014.386.500;720.623.151.795.167;1;37;23;
2100;1.399.048.227.835.860;3.323.974.624.351.260;0.9159126458361943;22.299.690.250.164.100;1.399.048.227.835.860;9.799.615.333.203.920;7.798.144.569.426.750;1;36;21;
2160;1.393.500.235.472.350;34.633.246.478.984.900;0.8085958821063636;23.402.095.968.078.200;1.393.500.235.472.350;10.391.935.220.608.400;6.650.935.167.941.420;1;36;19;
2220;1.386.444.684.375.530;36.019.691.163.360.500;11.350.311.902.650.200;24.379.929.423.958.300;1.386.444.684.375.530;10.906.709.306.642.200;61.692.689.315.759.300;1;35;18;
2280;14.050.541.037.086.900;3.742.474.526.706.920;10.225.817.290.609.700;2.541.685.410.520.500;14.050.541.037.086.900;11.247.798.198.080.000;4.331.212.470.533.490;1;36;15;
2340;13.785.566.472.837.700;38.803.301.914.353;10.569.177.451.729.700;2.641.492.036.422.650;13.785.566.472.837.700;11.550.888.839.380.400;39.821.323.836.587.700;1;34;11;
2400;11.709.860.043.957.200;39.974.287.918.748.700;0.8743625063578871;27.271.135.866.333.400;11.709.860.043.957.200;11.808.866.219.639.300;3.366.700.058.311.640;1;31;11;
2460;1.194.691.023.373.130;41.168.978.942.121.800;1.197.017.364.870.420;2.803.490.063.835.320;1.194.691.023.373.130;11.928.040.501.943.900;22.690.584.514.289.700;1;29;9;
2520;10.607.161.386.005.200;4.222.969.508.072.230;11.439.786.115.181.100;2.868.378.447.680.720;10.607.161.386.005.200;11.980.446.769.044.500;15.536.434.213.729.600;1;27;4;
2580;9.797.315.273.156.970;4.320.942.660.803.800;0.8483559839223226;29.358.107.849.910.900;9.797.315.273.156.970;1.203.800.599.208.540;13.391.126.159.383.800;1;23;4;
2640;8.617.954.797.504.250;4.407.122.208.778.850;0.9330780741440516;2.988.399.522.296.940;8.617.954.797.504.250;1.204.351.043.781.720;8.948.147.240.479.500;1;21;3;
2700;7.552.332.257.203.190;4.482.645.531.350.880;10.885.937.630.333.000;3.024.733.469.399.780;7.552.332.257.203.190;12.092.858.873.072.700;14.732.187.392.850.900;1;19;5;
2760;7.106.183.857.707.860;4.553.707.369.927.960;1.084.476.707.878.110;30.567.541.464.932.400;7.106.183.857.707.860;12.166.458.227.766.200;17.120.225.840.248.800;1;19;5;
2820;6.865.145.239.200.520;4.622.358.822.319.960;1.174.576.234.719.780;3.083.120.854.435.340;6.865.145.239.200.520;12.259.033.069.825.500;1.982.867.031.841.440;1;16;5;
2880;5.999.044.083.599.950;4.682.349.263.155.960;0.9688427999845661;3.108.232.954.471.890;5.999.044.083.599.950;12.368.476.218.312.200;19.663.900.048.526.500;1;16;5;
2940;688.566.571.633.241;4.751.205.920.319.290;11.320.142.773.097.300;31.363.370.976.520.700;688.566.571.633.241;12.500.862.108.646.200;2.342.671.752.919.120;1;18;6;
3000;7.097.170.065.240.850;4.822.177.620.971.690;10.681.222.265.656.200;31.688.563.981.481.100;7.097.170.065.240.850;12.637.444.845.073.200;2.327.137.368.178.560;1;18;6;
3060;7.641.537.690.122.810;4.898.592.997.872.920;0.9213474043731671;3.212.103.268.491.910;7.641.537.690.122.810;1.276.362.750.332.560;20.910.392.464.602.800;1;19;7;
3120;7.714.925.582.667.900;4.975.742.253.699.600;10.350.322.424.574.200;32.519.913.635.901.200;7.714.925.582.667.900;1.283.441.447.946.050;16.393.987.795.602.000;1;19;5;
3180;7.421.259.630.365.060;5.049.954.850.003.250;11.529.916.003.327.400;32.846.962.622.817.900;7.421.259.630.365.060;1.287.861.303.239.300;14.796.779.696.243.800;1;19;4;
3240;7.885.735.700.025.690;5.128.812.207.003.510;11.384.789.673.713.200;3.322.568.376.456.680;7.885.735.700.025.690;12.931.258.546.892.300;15.510.862.156.279.400;1;20;4;
3300;7.760.130.406.738.940;5.206.413.511.070.900;100.211.352.823.184;3.364.093.593.507.720;7.760.130.406.738.940;13.077.209.291.575.600;23.614.096.222.409.300;1;21;7;
