RREP;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
5053;84.0;13.897.796.420.581.600;29.731.225.844.351.200;9.135.969.925.837.260;9.665.801.851.209.560;5.800.354.583.138.760;314.784.442.526.329;23;13.995.714.285.714.200;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
1920;19.536.262.803.169.000;35.141.093.496.647.100;0.8923466166163937;2.520.445.342.424.250;19.536.262.803.169.000;11.923.175.061.545.200;3.751.203.412.784.180;0.512458198142091;42;10;
1980;19.180.619.096.762.800;3.705.915.540.632.340;0.8875124149350755;26.803.010.864.542.200;19.180.619.096.762.800;15.107.264.939.773.100;3.982.851.051.669.420;0;41;10;
2040;19.084.483.759.242.700;3.896.760.378.224.770;0.9838413862950934;283.572.763.414.003;19.084.483.759.242.700;1.807.002.537.321.540;3.848.217.681.107.890;0;42;10;
2100;19.455.654.359.658.900;4.091.316.921.821.360;0.9159126458361943;2.997.311.322.486.510;19.455.654.359.658.900;21.251.188.111.834.000;40.054.841.198.712.200;0;41;10;
2160;19.282.613.983.640.200;4.284.143.061.657.760;0.8085958821063636;316.102.801.056.709;19.282.613.983.640.200;23.927.328.721.165.500;3.403.876.903.227.220;0;41;10;
2220;19.637.182.277.063.400;4.480.514.884.428.400;11.350.311.902.650.200;3.316.538.710.488.180;19.637.182.277.063.400;25.331.743.569.351.600;24.259.429.194.245.900;0;40;8;
2280;19.961.720.129.219.500;4.680.132.085.720.590;10.225.817.290.609.700;3.479.342.969.534.180;19.961.720.129.219.500;24.917.314.195.957.700;5.058.941.827.609.900;0;41;3;
2340;19.964.413.971.813.500;4.879.776.225.438.730;10.569.177.451.729.700;36.409.380.704.260.900;19.964.413.971.813.500;23.966.088.225.302.000;0;0;40;0;
2400;19.707.406.433.634.900;5.076.850.289.775.080;0.8743625063578871;38.065.350.845.335.500;19.707.406.433.634.900;2.317.916.196.957.990;0;0;41;0;
2460;20.073.499.799.251.000;5.277.585.287.767.590;1.197.017.364.870.420;39.641.774.573.907.300;20.073.499.799.251.000;22.101.846.341.196.500;0;0;41;0;
2520;18.610.979.755.098.000;5.463.695.085.318.570;11.439.786.115.181.100;4.109.104.024.927.060;18.610.979.755.098.000;2.107.226.559.083.020;0;0;40;0;
