vType;em_means
eVehicle;0.0
gasolineEuroSix;0.005820754404495926
highEmissions;0.014001716873794656
normalVehicle;0.02374829712531472
hovDieselEuroSix;0.05396537255442314
dieselEuroSix;0.09725765476659726
truck;1.0
