Windows:
0. NOx_total_w: 0. NOx_control_zone_w: 75. veh_total_number_w: 0. Vehicles: . Nº veh in control zone: 0. Vehicles in control zone: 
900. NOx_total_w: 1657.9975716278357. NOx_control_zone_w: 134.3617695815006. veh_total_number_w: 99. Vehicles: veh69,veh4,veh65,veh3,veh38,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh0,veh6,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh42,veh41,veh50,veh77,veh44,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh48,veh84,veh49,veh82,veh51,veh17,veh83,veh20,veh53,veh52,veh18,veh88,veh25,veh54,veh87,veh73,veh55,veh89,veh86,veh85,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh27,veh61,veh93,veh59,veh26,veh94,veh32,veh58,veh97,veh29,veh95,veh28,veh62,veh96,veh60,veh64,veh30,veh98,veh1,veh31,veh74,veh33,. Nº veh in control zone: 26. Vehicles in control zone: veh14,veh18,veh15,veh34,veh13,veh8,veh19,veh12,veh47,veh28,veh4,veh35,veh30,veh2,veh37,veh1,veh39,veh32,veh31,veh29,veh46,veh24,veh7,veh11,veh27,veh10,
950. NOx_total_w: 1660.0978576503805. NOx_control_zone_w: 110.3496354454445. veh_total_number_w: 103. Vehicles: veh69,veh4,veh65,veh3,veh38,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh0,veh6,veh102,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh42,veh41,veh50,veh77,veh44,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh48,veh84,veh49,veh82,veh51,veh17,veh83,veh20,veh53,veh52,veh18,veh88,veh25,veh54,veh87,veh73,veh55,veh89,veh86,veh85,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh27,veh61,veh93,veh59,veh26,veh94,veh32,veh58,veh97,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh64,veh99,veh30,veh98,veh1,veh31,veh74,veh100,veh33,. Nº veh in control zone: 25. Vehicles in control zone: veh14,veh18,veh15,veh51,veh34,veh13,veh8,veh12,veh47,veh28,veh35,veh30,veh37,veh39,veh49,veh32,veh31,veh29,veh46,veh24,veh7,veh11,veh54,veh27,veh10,
1000. NOx_total_w: 1830.1097183700122. NOx_control_zone_w: 3.692940509050501. veh_total_number_w: 107. Vehicles: veh69,veh105,veh4,veh65,veh3,veh38,veh104,veh103,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh0,veh6,veh102,veh106,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh42,veh41,veh50,veh77,veh44,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh48,veh84,veh49,veh82,veh51,veh17,veh83,veh20,veh53,veh52,veh18,veh88,veh25,veh54,veh87,veh73,veh55,veh89,veh86,veh85,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh27,veh61,veh93,veh59,veh26,veh94,veh32,veh58,veh97,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh64,veh99,veh30,veh98,veh1,veh31,veh74,veh100,veh33,. Nº veh in control zone: 20. Vehicles in control zone: veh18,veh15,veh51,veh34,veh13,veh12,veh47,veh56,veh28,veh35,veh37,veh49,veh39,veh32,veh31,veh29,veh46,veh24,veh54,veh27,
1050. NOx_total_w: 1909.628984646749. NOx_control_zone_w: 0.0. veh_total_number_w: 114. Vehicles: veh69,veh105,veh4,veh65,veh3,veh38,veh104,veh103,veh34,veh68,veh8,veh67,veh35,veh66,veh110,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh107,veh0,veh6,veh102,veh106,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh108,veh112,veh42,veh109,veh41,veh50,veh77,veh44,veh111,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh113,veh48,veh84,veh49,veh82,veh51,veh17,veh83,veh20,veh53,veh52,veh18,veh88,veh25,veh54,veh87,veh73,veh55,veh89,veh86,veh85,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh27,veh61,veh93,veh59,veh26,veh94,veh32,veh58,veh97,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh64,veh99,veh30,veh98,veh1,veh31,veh74,veh100,veh33,. Nº veh in control zone: 16. Vehicles in control zone: veh32,veh56,veh18,veh28,veh31,veh29,veh46,veh24,veh51,veh54,veh35,veh34,veh27,veh47,veh49,veh39,
1100. NOx_total_w: 1919.8995444074892. NOx_control_zone_w: 0.0. veh_total_number_w: 117. Vehicles: veh69,veh105,veh4,veh65,veh3,veh38,veh104,veh103,veh34,veh68,veh8,veh67,veh35,veh66,veh110,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh107,veh0,veh6,veh102,veh106,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh108,veh112,veh42,veh109,veh41,veh50,veh77,veh44,veh111,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh114,veh113,veh48,veh115,veh84,veh49,veh82,veh51,veh116,veh17,veh83,veh20,veh53,veh52,veh18,veh88,veh25,veh54,veh87,veh73,veh55,veh89,veh86,veh85,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh27,veh61,veh93,veh59,veh26,veh94,veh32,veh58,veh97,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh64,veh99,veh30,veh98,veh1,veh31,veh74,veh100,veh33,. Nº veh in control zone: 15. Vehicles in control zone: veh32,veh56,veh28,veh31,veh29,veh46,veh24,veh51,veh54,veh35,veh34,veh27,veh47,veh49,veh39,
1150. NOx_total_w: 2093.4150275360125. NOx_control_zone_w: 0.0. veh_total_number_w: 118. Vehicles: veh69,veh105,veh4,veh65,veh38,veh104,veh103,veh34,veh68,veh8,veh67,veh35,veh66,veh110,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh107,veh6,veh102,veh106,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh108,veh112,veh42,veh109,veh41,veh50,veh77,veh44,veh111,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh114,veh119,veh113,veh48,veh115,veh84,veh117,veh49,veh82,veh51,veh116,veh17,veh83,veh20,veh53,veh52,veh18,veh88,veh118,veh25,veh54,veh87,veh73,veh55,veh89,veh86,veh85,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh27,veh61,veh93,veh59,veh26,veh94,veh32,veh58,veh97,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh64,veh99,veh30,veh98,veh1,veh31,veh74,veh100,veh33,. Nº veh in control zone: 11. Vehicles in control zone: veh56,veh28,veh31,veh46,veh24,veh51,veh54,veh35,veh47,veh49,veh39,
1200. NOx_total_w: 2203.0493682581578. NOx_control_zone_w: 0.0. veh_total_number_w: 123. Vehicles: veh69,veh105,veh4,veh65,veh38,veh104,veh103,veh34,veh68,veh8,veh67,veh35,veh66,veh110,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh107,veh106,veh7,veh40,veh124,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh108,veh112,veh42,veh109,veh41,veh50,veh77,veh44,veh111,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh114,veh119,veh113,veh48,veh115,veh84,veh117,veh49,veh82,veh51,veh116,veh17,veh83,veh20,veh53,veh125,veh52,veh18,veh88,veh118,veh25,veh54,veh87,veh73,veh55,veh89,veh121,veh86,veh120,veh85,veh122,veh33,veh123,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh27,veh61,veh93,veh59,veh26,veh94,veh32,veh58,veh97,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh64,veh99,veh30,veh98,veh1,veh31,veh74,veh100,veh102,. Nº veh in control zone: 10. Vehicles in control zone: veh56,veh28,veh31,veh46,veh24,veh51,veh54,veh47,veh49,veh39,
1250. NOx_total_w: 2197.751141735154. NOx_control_zone_w: 0.0. veh_total_number_w: 126. Vehicles: veh69,veh105,veh4,veh65,veh38,veh104,veh103,veh34,veh68,veh8,veh67,veh35,veh66,veh110,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh107,veh106,veh102,veh7,veh40,veh124,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh108,veh112,veh42,veh109,veh41,veh50,veh77,veh44,veh111,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh114,veh119,veh113,veh48,veh115,veh84,veh117,veh49,veh82,veh51,veh116,veh17,veh83,veh20,veh53,veh125,veh52,veh18,veh88,veh118,veh25,veh54,veh87,veh73,veh55,veh89,veh121,veh86,veh120,veh85,veh122,veh123,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh127,veh126,veh27,veh61,veh93,veh59,veh128,veh26,veh94,veh32,veh58,veh97,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh64,veh99,veh30,veh98,veh1,veh31,veh74,veh100,veh33,. Nº veh in control zone: 8. Vehicles in control zone: veh56,veh62,veh39,veh46,veh51,veh54,veh47,veh49,
1300. NOx_total_w: 2367.352562077688. NOx_control_zone_w: 38.514940532471535. veh_total_number_w: 125. Vehicles: veh69,veh105,veh65,veh38,veh104,veh103,veh34,veh68,veh8,veh67,veh35,veh66,veh110,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh107,veh106,veh102,veh7,veh40,veh124,veh9,veh76,veh45,veh72,veh14,veh43,veh81,veh11,veh108,veh112,veh42,veh109,veh41,veh50,veh77,veh44,veh111,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh114,veh119,veh113,veh48,veh115,veh84,veh117,veh49,veh82,veh51,veh116,veh17,veh83,veh20,veh53,veh125,veh52,veh18,veh88,veh118,veh25,veh54,veh87,veh73,veh55,veh89,veh121,veh86,veh120,veh85,veh122,veh123,veh63,veh131,veh56,veh130,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh127,veh126,veh27,veh61,veh93,veh59,veh128,veh129,veh26,veh94,veh32,veh58,veh97,veh132,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh64,veh99,veh30,veh98,veh31,veh74,veh100,veh33,. Nº veh in control zone: 10. Vehicles in control zone: veh56,veh91,veh62,veh95,veh99,veh51,veh52,veh54,veh47,veh49,
1350. NOx_total_w: 2477.7998741042484. NOx_control_zone_w: 150.22942008590607. veh_total_number_w: 126. Vehicles: veh69,veh105,veh65,veh38,veh104,veh137,veh103,veh34,veh68,veh67,veh35,veh66,veh110,veh36,veh39,veh138,veh71,veh5,veh75,veh70,veh107,veh106,veh7,veh40,veh124,veh9,veh76,veh45,veh72,veh43,veh81,veh112,veh108,veh42,veh109,veh41,veh50,veh77,veh44,veh111,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh114,veh119,veh113,veh48,veh115,veh84,veh117,veh49,veh82,veh51,veh116,veh17,veh83,veh20,veh53,veh125,veh52,veh135,veh18,veh88,veh118,veh25,veh54,veh87,veh73,veh55,veh89,veh121,veh86,veh120,veh85,veh122,veh33,veh123,veh63,veh131,veh56,veh130,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh92,veh127,veh126,veh27,veh61,veh93,veh59,veh128,veh129,veh26,veh94,veh32,veh58,veh97,veh132,veh29,veh95,veh28,veh62,veh96,veh101,veh60,veh134,veh64,veh133,veh99,veh98,veh31,veh74,veh100,veh102,veh136,. Nº veh in control zone: 13. Vehicles in control zone: veh56,veh91,veh72,veh62,veh95,veh99,veh51,veh52,veh54,veh97,veh47,veh66,veh49,
