vType;em_means
eVehicle;0.0
gasolineEuroSix;0.005717253666095911
highEmissions;0.01396133728161584
normalVehicle;0.02374219908873041
hovDieselEuroSix;0.05392372023852623
dieselEuroSix;0.09653991538509898
truck;1.0
